date,team1,team2,winner,elo_diff,elo_diff_sq,team1_recent_winrate,team2_recent_winrate,head_to_head,venue_winrate_team1,t1_bat_score,t2_bat_score,t1_bowl_score,t2_bowl_score,bat_score_diff,bowl_score_diff,matchup_diff,toss_winner_is_team1,t1_season_match_num,t2_season_match_num,target
2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,-43.70036372844561,-0.191,0.6,0.7,0.5,0.6522,360.81,691.388,2.222,5.918,-330.578,-3.696,0.0,1,2,2,1
2017-04-13,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,-38.84667702254592,-0.1509,0.5,0.5,0.3158,0.25,476.588,379.287,3.494,1.223,97.301,2.271,0.0,0,2,2,0
2017-04-14,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,1.6807939669242842,0.0003,0.3,0.3333,0.5,0.3333,333.126,395.486,0.575,3.129,-62.36,-2.554,0.0,1,2,3,1
2017-04-14,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,30.02887319544448,0.0902,0.6,0.6,0.5789,0.75,318.694,379.158,2.626,5.963,-60.464,-3.337,0.0,1,3,3,1
2017-04-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,18.17066673871159,0.033,0.4,0.4,0.4444,0.3958,296.095,339.343,5.215,2.344,-43.248,2.871,0.0,1,2,3,1
2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,-28.187563987874,-0.0795,0.5,0.6,0.6667,0.6538,409.929,391.402,3.548,3.867,18.527,-0.319,0.0,0,3,3,1
2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,-54.9875305988628,-0.3024,0.4,0.6,1.0,1.0,382.038,272.166,4.973,2.687,109.872,2.286,0.0,0,3,4,0
2017-04-16,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,-28.918029615688283,-0.0836,0.25,0.6,0.5,0.5,305.751,335.687,2.751,8.089,-29.936,-5.338,0.0,0,4,4,1
2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-47.42318268702934,-0.2249,0.4,0.5,0.4118,0.4082,322.847,344.117,6.18,4.16,-21.27,2.02,0.0,1,3,4,0
2017-04-17,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,-90.05168611796694,-0.8109,0.4,0.6,0.25,0.5714,260.518,325.816,1.637,5.262,-65.298,-3.625,0.0,1,4,4,0
2017-04-18,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,3.987303908864078,0.0016,0.4,0.5,0.3333,0.4286,322.541,221.679,1.992,3.274,100.862,-1.282,0.0,1,4,5,0
2017-04-19,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,-67.89539638242604,-0.461,0.4,0.6,0.375,0.8,291.174,314.79,4.368,5.415,-23.616,-1.047,0.0,0,4,5,0
2017-04-20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,-128.03408030376045,-1.6393,0.3,0.6,0.5,1.0,186.314,280.168,2.083,2.407,-93.854,-0.324,0.0,0,5,5,0
2017-04-21,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,-79.40140297048288,-0.6305,0.3,0.6,0.6667,1.0,306.34,389.971,0.998,4.76,-83.631,-3.762,47.673,1,5,5,1
2017-04-22,Delhi Daredevils,Mumbai Indians,Mumbai Indians,-105.33762868480062,-1.1096,0.4,0.7,0.5,0.1667,299.737,326.535,4.374,2.207,-26.798,2.167,0.0,1,5,6,0
2017-04-22,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,-75.38987556970187,-0.5684,0.4,0.7,0.5,0.5,264.897,455.251,3.97,4.151,-190.354,-0.181,0.0,1,5,6,1
2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,37.92244583660158,0.1438,0.5,0.5,0.5,0.6481,352.321,274.471,3.818,4.853,77.85,-1.035,0.0,0,6,6,1
2017-04-23,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,61.488012553054205,0.3781,0.4,0.3,0.5,0.375,344.502,268.171,2.244,1.898,76.331,0.346,0.0,1,6,6,0
2017-04-24,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,83.12501199435178,0.691,0.7,0.5,0.0,0.6735,278.294,270.052,1.837,2.386,8.242,-0.549,-34.988,1,7,6,0
2017-04-26,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,28.875815681447648,0.0834,0.6,0.5714,0.5,1.0,284.861,224.342,4.458,2.842,60.519,1.616,0.0,1,7,7,1
2017-04-27,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,-11.163265355295836,-0.0125,0.3,0.4,0.25,0.0,320.313,268.712,3.662,3.487,51.601,0.175,-20.988,1,7,7,1
2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-100.97629071755864,-1.0196,0.3,0.7,0.3889,0.1667,293.318,277.423,3.873,4.726,15.895,-0.853,21.455,0,6,8,0
2017-04-28,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,-97.87024915350617,-0.9579,0.3,0.7,0.2222,0.2857,240.881,389.866,1.812,5.019,-148.985,-3.207,6.569,1,7,7,0
2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,35.613079221850285,0.1268,0.5,0.3,1.0,0.5,255.956,191.539,1.664,4.072,64.417,-2.408,13.78,0,8,8,1
2017-04-30,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,14.603628273112465,0.0213,0.3,0.3,0.4737,0.0,291.471,343.361,3.502,2.692,-51.89,0.81,63.482,0,7,8,0
2017-04-30,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,17.478782708363724,0.0306,0.7,0.7,0.7,0.8,279.113,416.76,4.322,4.406,-137.647,-0.084,-6.481,1,9,8,0
2017-05-01,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,109.57305040550273,1.2006,0.7,0.2,0.6,0.66,297.545,196.653,2.594,2.118,100.892,0.476,55.251,0,8,9,1
2017-05-01,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,-30.44696845377757,-0.0927,0.3,0.5556,1.0,1.0,320.776,246.298,1.965,2.387,74.478,-0.422,-16.757,0,8,9,0
2017-05-02,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,-132.8732482626524,-1.7655,0.3,0.7,0.3333,0.4,241.334,408.476,1.817,4.815,-167.142,-2.998,-34.299,1,8,9,1
2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,24.546050560975345,0.0603,0.7,0.6,1.0,0.6607,198.972,246.763,3.501,2.497,-47.791,1.004,1.121,0,10,10,0
2017-05-04,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,-21.29150570705201,-0.0453,0.3,0.3,0.5,0.4118,211.477,254.707,2.979,2.009,-43.23,0.97,0.0,1,9,9,1
2017-05-05,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,1.4288390888373217,0.0002,0.4,0.2,0.5789,0.4444,359.781,211.132,3.352,3.265,148.649,0.087,66.675,0,9,10,1
2017-05-06,Delhi Daredevils,Mumbai Indians,Mumbai Indians,-108.2034136585828,-1.1708,0.4,0.7,0.4737,0.4231,236.78,239.274,2.195,2.433,-2.494,-0.238,14.684,1,10,9,0
2017-05-06,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,-2.379713832216794,-0.0006,0.6,0.6,1.0,0.5,240.594,411.599,2.656,3.215,-171.005,-0.559,11.76,0,11,10,1
2017-05-07,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,106.75581952889866,1.1397,0.6,0.2,0.5263,0.5,370.261,202.425,3.586,3.172,167.836,0.414,35.635,1,11,11,1
2017-05-07,Gujarat Lions,Kings XI Punjab,Gujarat Lions,-2.9728419526184098,-0.0009,0.3,0.5,0.3333,1.0,216.365,297.262,1.465,3.579,-80.897,-2.114,-40.712,1,10,10,1
2017-05-08,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,52.2736351116655,0.2733,0.8,0.5,0.5556,0.6667,348.824,237.123,3.121,3.394,111.701,-0.273,-36.492,1,10,11,0
2017-05-09,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,-101.3906245085484,-1.028,0.4,0.7,0.3,0.3,300.668,397.722,3.476,3.196,-97.054,0.28,4.283,0,11,12,1
2017-05-10,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,-15.473165089285205,-0.0239,0.4,0.4,0.6667,0.5,178.535,226.388,1.657,1.43,-47.853,0.227,-6.646,1,11,11,1
2017-05-11,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,-103.4841936463913,-1.0709,0.4,0.8,0.4737,0.5,264.626,272.224,3.674,2.83,-7.598,0.844,15.369,0,12,11,1
2017-05-12,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,-86.66999855816152,-0.7512,0.4,0.7,1.0,0.4151,193.795,236.072,2.145,2.544,-42.277,-0.399,35.321,1,12,12,1
2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,-90.7215613077376,-0.823,0.4,0.5,0.0,0.6667,259.018,226.41,1.714,3.59,32.608,-1.876,-36.393,0,12,12,0
2017-05-13,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,-19.989537111131085,-0.04,0.6,0.7,0.2632,0.6491,417.057,307.063,2.587,2.133,109.994,0.454,-8.571,1,13,12,0
2017-05-14,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,-57.6407136755422,-0.3322,0.5,0.7,1.0,0.0,244.459,232.704,3.344,2.609,11.755,0.735,9.038,0,13,13,0
2017-05-14,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,66.86096399061557,0.447,0.4,0.1,0.375,0.4259,202.299,195.257,2.27,2.784,7.042,-0.514,-64.5,0,13,12,0
2017-05-16,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,11.238788606070557,0.0126,0.7,0.8,0.0,0.6538,325.057,189.843,2.673,2.987,135.214,-0.314,-34.704,1,13,14,0
2017-05-17,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,-41.56862487460148,-0.1728,0.5,0.6,0.6364,0.5556,339.144,321.823,2.753,3.925,17.321,-1.172,-12.494,1,14,13,1
2017-05-19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,-16.260563460977437,-0.0264,0.5,0.6,0.25,0.6,319.965,290.202,3.069,2.337,29.763,0.732,0.018,0,15,14,0
2017-05-21,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,-4.321380270664122,-0.0019,0.6,0.8,0.0,0.5714,277.136,190.769,2.747,3.135,86.367,-0.388,-21.333,1,15,15,1
2018-04-07,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,-37.58731086469311,-0.1413,0.4,0.6,0.4545,0.4,228.723,269.804,1.93,1.934,-41.081,-0.004,-8.191,1,0,0,1
2018-04-08,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,0.5958058020880799,0.0,0.4,0.5,0.45,0.5,256.411,197.566,2.971,3.804,58.845,-0.833,26.666,0,0,0,0
2018-04-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,56.63338544260182,0.3207,0.5,0.2,0.55,0.6379,347.657,201.024,3.402,3.429,146.633,-0.027,79.658,1,0,0,1
2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,-25.999320647075592,-0.0676,0.5,0.6,0.5714,0.5,300.748,230.873,2.641,3.069,69.875,-0.428,-36.754,0,0,0,0
2018-04-10,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,6.1710905693619225,0.0038,0.5,0.5,0.625,0.5,322.212,300.329,1.885,4.656,21.883,-2.771,-1.17,1,1,1,1
2018-04-11,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,-24.732880164312974,-0.0612,0.4,0.4,0.375,0.25,251.359,204.828,3.47,1.25,46.531,2.22,25.512,1,1,1,0
2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,-4.981190899374496,-0.0025,0.5,0.6,0.5,0.5,259.109,231.685,2.94,3.231,27.424,-0.291,-0.274,0,1,1,0
2018-04-13,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,48.64285271150857,0.2366,0.6,0.2,0.6,0.5,409.742,179.1,3.908,2.788,230.642,1.12,0.313,0,1,1,0
2018-04-14,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,-70.86538187561973,-0.5022,0.4,0.5,0.45,0.1429,248.627,271.602,3.283,4.235,-22.975,-0.952,-78.904,1,2,2,1
2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,-45.27283178607991,-0.205,0.4,0.6,0.6667,0.6441,433.784,222.58,4.3,3.517,211.204,0.783,-22.51,0,2,2,0
2018-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,42.98121701074297,0.1847,0.4,0.3,0.4667,0.5,213.877,226.711,1.795,3.994,-12.834,-2.199,5.35,0,2,2,1
2018-04-15,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,67.33623867140227,0.4534,0.6,0.6,0.625,0.5,248.255,344.237,1.937,3.56,-95.982,-1.623,16.829,1,2,2,0
2018-04-16,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,-29.16976962555168,-0.0851,0.5,0.3,0.3684,0.1429,295.969,311.359,3.162,3.88,-15.39,-0.718,-74.268,1,3,3,0
2018-04-17,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,58.56384993846268,0.343,0.4,0.2,0.619,0.6182,271.138,193.559,3.168,3.232,77.579,-0.064,-0.726,0,3,3,1
2018-04-18,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,-4.206141637615474,-0.0018,0.4,0.4,0.4615,0.25,322.571,215.088,4.601,2.754,107.483,1.847,39.986,1,4,3,1
2018-04-19,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,-74.44137476716242,-0.5542,0.6,0.7,0.2,1.0,319.383,215.217,2.94,4.327,104.166,-1.387,35.129,1,3,3,1
2018-04-20,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,26.31591418632433,0.0693,0.5,0.4,0.6471,0.5,257.78,233.886,2.202,3.293,23.894,-1.091,-29.162,0,3,4,1
2018-04-21,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,20.16654398463038,0.0407,0.5,0.2,0.3529,0.0,289.214,232.163,3.452,3.149,57.051,0.303,56.555,0,4,4,0
2018-04-21,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,-14.838862469371406,-0.022,0.7,0.5,0.3333,0.2222,307.664,320.089,2.731,4.646,-12.425,-1.915,-1.627,1,4,5,1
2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,-10.568679738829816,-0.0112,0.6,0.6,0.6667,0.5,267.813,204.364,2.531,3.249,63.449,-0.718,18.161,0,4,4,1
2018-04-22,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,29.802297392404853,0.0888,0.4,0.4,0.625,0.4,293.822,227.188,3.085,2.669,66.634,0.416,-9.767,1,4,5,0
2018-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,-83.56436518032933,-0.6983,0.4,0.7,0.4286,0.5,257.277,289.084,3.283,2.663,-31.807,0.62,20.574,1,5,5,0
2018-04-24,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,-33.737748716669785,-0.1138,0.4,0.5,0.4545,0.625,274.328,220.647,3.05,2.852,53.681,0.198,-27.944,1,5,5,0
2018-04-25,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,103.89924149224726,1.0795,0.6,0.3,0.6316,0.5,267.833,233.491,2.499,3.276,34.342,-0.777,3.307,1,5,5,1
2018-04-26,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,-13.45751858074027,-0.0181,0.7,0.6,0.2727,0.5,280.45,215.805,3.07,3.105,64.645,-0.035,46.891,1,6,6,0
2018-04-27,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,-79.90429935096768,-0.6385,0.3,0.4,0.35,0.0,238.313,317.365,4.201,4.259,-79.052,-0.058,1.673,0,6,6,1
2018-04-28,Chennai Super Kings,Mumbai Indians,Mumbai Indians,74.59917627925711,0.5565,0.7,0.4,0.4783,1.0,265.803,254.575,2.488,3.468,11.228,-0.98,7.317,0,6,6,0
2018-04-29,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,-59.24692145894687,-0.351,0.4,0.7,0.5,0.7222,250.911,221.85,3.475,3.413,29.061,0.062,-29.895,0,6,7,0
2018-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,52.520895304634,0.2758,0.4,0.3,0.5714,0.5,302.711,263.983,4.105,2.756,38.728,1.349,21.012,1,7,6,1
2018-04-30,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,99.8613652400768,0.9972,0.6,0.4,0.6875,0.5,293.714,296.739,2.554,3.356,-3.025,-0.802,44.932,0,7,7,1
2018-05-01,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,78.02802894134561,0.6088,0.4,0.3,0.6364,0.5,241.831,253.961,2.789,2.699,-12.13,0.09,10.218,1,7,7,0
2018-05-02,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,-53.90904222252448,-0.2906,0.3,0.4,0.3529,0.5,288.257,220.621,2.987,3.456,67.636,-0.469,5.051,0,8,7,1
2018-05-03,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,52.46910568158705,0.2753,0.7,0.5,0.6471,0.4444,314.398,271.585,2.675,2.272,42.813,0.403,-24.372,0,8,8,0
2018-05-04,Kings XI Punjab,Mumbai Indians,Mumbai Indians,32.2435139194713,0.104,0.7,0.4,0.5,0.75,263.134,247.111,3.09,2.746,16.023,0.344,-54.962,0,7,8,0
2018-05-05,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,-120.27196463346807,-1.4465,0.3,0.7,0.4,0.5,303.834,233.83,2.983,3.949,70.004,-0.966,25.553,1,9,8,0
2018-05-05,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,95.5985963515418,0.9139,0.6,0.4,0.65,0.6667,310.475,268.89,2.146,3.017,41.585,-0.871,-42.419,1,9,8,1
2018-05-06,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,16.187258217604267,0.0262,0.5,0.4,0.2381,0.1429,326.446,246.558,4.617,2.73,79.888,1.887,14.114,1,9,9,0
2018-05-06,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,31.368382978889716,0.0984,0.6,0.4,0.3571,0.6,273.054,247.675,2.558,2.713,25.379,-0.155,-19.15,1,8,8,1
2018-05-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,-147.67641837524752,-2.1808,0.4,0.7,0.4444,0.5,247.419,233.516,2.685,3.763,13.903,-1.078,40.264,1,9,9,0
2018-05-08,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,56.84723661815633,0.3232,0.6,0.3,0.4,0.0,266.023,240.441,2.53,2.75,25.582,-0.22,-10.281,0,9,9,0
2018-05-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,-13.116337565739286,-0.0172,0.5,0.4,0.2273,0.6349,276.248,248.103,3.527,2.802,28.145,0.725,-30.544,1,10,10,0
2018-05-10,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,-147.33223317460445,-2.1707,0.3,0.8,0.3636,0.6667,319.836,210.169,3.141,3.671,109.667,-0.53,32.472,1,10,10,0
2018-05-11,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,72.88683371811726,0.5312,0.7,0.4,0.6667,0.5,284.047,289.048,2.758,2.964,-5.001,-0.206,25.494,1,10,10,0
2018-05-12,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,10.05767153298052,0.0101,0.6,0.4,0.3636,0.6667,263.593,271.152,3.011,3.422,-7.559,-0.411,20.977,1,10,11,0
2018-05-12,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,8.716112718296927,0.0076,0.3,0.3,0.3333,0.5,386.533,213.904,2.523,2.427,172.629,0.096,-2.877,0,11,10,0
2018-05-13,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,-65.26687126822821,-0.426,0.6,0.8,0.7143,0.75,296.619,211.691,2.334,3.147,84.928,-0.813,3.15,1,11,11,1
2018-05-13,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,37.41380435996348,0.14,0.5,0.5,0.5882,0.6207,265.511,236.838,2.853,2.917,28.673,-0.064,-4.865,0,11,11,0
2018-05-14,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,47.12974744588018,0.2221,0.5,0.4,0.5714,0.5714,293.436,215.255,2.978,2.582,78.181,0.396,-17.617,0,11,11,0
2018-05-15,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,-3.742617698597997,-0.0014,0.5,0.5,0.5,0.625,282.294,267.827,3.178,2.48,14.467,0.698,-6.665,1,12,12,1
2018-05-16,Kings XI Punjab,Mumbai Indians,Mumbai Indians,-44.79302254291542,-0.2006,0.5,0.5,0.4762,0.5556,275.012,277.865,2.254,2.713,-2.853,-0.459,-38.661,1,12,12,0
2018-05-17,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,-126.00064308144374,-1.5876,0.4,0.7,0.4,0.5714,223.642,213.825,2.934,2.859,9.817,0.075,7.623,0,12,12,1
2018-05-18,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,129.8063662236516,1.685,0.6,0.3,0.7059,0.5,305.447,470.735,2.357,2.769,-165.288,-0.412,12.562,1,12,12,0
2018-05-19,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,20.720918876851783,0.0429,0.4,0.5,0.5,0.7179,143.675,276.812,2.638,2.603,-133.137,0.035,13.788,1,13,13,1
2018-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,-42.989222131156566,-0.1848,0.6,0.6,0.6154,0.5,283.512,199.811,3.684,2.651,83.701,1.033,35.944,0,13,13,1
2018-05-20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,-89.22632548091019,-0.7961,0.3,0.6,0.4762,0.5,380.263,277.727,2.732,2.545,102.536,0.187,-3.525,1,13,13,1
2018-05-20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,71.78290510507986,0.5153,0.6,0.4,0.5882,0.8,268.322,292.794,2.519,2.425,-24.472,0.094,-28.815,1,13,13,1
2018-05-22,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,-5.330873621564024,-0.0028,0.6,0.6,0.75,0.4545,304.661,229.05,2.908,2.837,75.611,0.071,3.619,1,14,14,1
2018-05-23,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,27.11643040637728,0.0735,0.6,0.5,0.5333,0.6308,290.487,166.353,3.79,2.872,124.134,0.918,-24.976,0,14,14,1
2018-05-25,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,15.582069168918451,0.0243,0.6,0.6,0.6429,0.6364,268.916,225.824,3.655,2.745,43.092,0.91,-7.721,1,15,15,0
2018-05-27,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,8.471247758567188,0.0072,0.6,0.6,0.7778,0.5,324.709,227.43,3.255,3.033,97.279,0.222,0.329,1,15,16,1
2019-03-23,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,75.77802791771,0.5742,0.6,0.5,0.6667,1.0,302.204,294.225,2.512,2.59,7.979,-0.078,-41.167,1,0,0,1
2019-03-24,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,-0.0098974998090852,-0.0,0.6,0.5,0.6,0.6269,263.07,217.831,3.655,2.796,45.239,0.859,-6.636,1,0,0,1
2019-03-24,Delhi Capitals,Mumbai Indians,Delhi Capitals,-10.483330216588229,-0.011,0.5,0.5,0.5,0.5,309.273,273.553,2.074,2.374,35.72,-0.3,-23.349,0,0,0,1
2019-03-25,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,-33.48900765784492,-0.1122,0.3,0.5,0.375,0.0,249.58,265.405,2.648,2.392,-15.825,0.256,-0.515,0,0,0,1
2019-03-26,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,48.43887976770816,0.2346,0.7,1.0,0.5,0.0,292.514,332.038,2.738,2.648,-39.524,0.09,6.89,0,1,1,1
2019-03-27,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,-58.959770342987895,-0.3476,0.3,0.7,0.3478,0.3,286.452,267.783,2.753,3.323,18.669,-0.57,-12.642,1,1,1,0
2019-03-28,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,30.965920272441053,0.0959,0.5,0.4,0.6087,0.0,241.899,205.324,2.505,1.889,36.575,0.616,-15.921,0,1,1,1
2019-03-29,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,-28.17043027709974,-0.0794,0.4,0.4,0.4444,0.0,255.008,280.05,2.333,2.621,-25.042,-0.288,-5.438,1,1,1,0
2019-03-30,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,-38.61747977565278,-0.1491,0.2,0.6,0.4545,1.0,264.734,245.167,2.53,2.416,19.567,0.114,2.123,1,2,2,1
2019-03-31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,103.14496630785176,1.0639,0.7,0.4,0.6316,1.0,310.706,262.643,2.858,2.385,48.063,0.473,25.109,0,2,2,1
2019-03-31,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,-73.34243452170654,-0.5379,0.4,0.4,0.4545,0.0,236.249,256.899,2.41,2.326,-20.65,0.084,12.411,1,2,2,0
2019-04-01,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,16.612819035914754,0.0276,0.5,0.3,0.5,0.5,472.794,240.028,3.269,2.717,232.766,0.552,-75.258,1,2,3,0
2019-04-02,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,20.56339366626389,0.0423,0.4,0.4,0.5294,0.7073,222.424,197.042,2.748,2.34,25.382,0.408,-4.849,1,3,3,1
2019-04-03,Chennai Super Kings,Mumbai Indians,Mumbai Indians,91.61674800347168,0.8394,0.8,0.5,0.4583,0.5385,287.288,267.317,2.84,2.127,19.971,0.713,-3.921,1,3,3,0
2019-04-04,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,-49.07710918682369,-0.2409,0.3333,0.4,0.5,0.0,320.563,314.954,2.804,2.542,5.609,0.262,31.408,0,3,3,0
2019-04-05,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,124.37287457713272,1.5469,0.7,0.3,0.5909,1.0,283.645,224.868,3.313,2.594,58.777,0.719,20.186,1,2,4,1
2019-04-06,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,66.85740602277247,0.447,0.7,0.4,0.6111,1.0,276.936,288.065,2.863,3.41,-11.129,-0.547,9.072,1,4,4,1
2019-04-06,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,-37.92999717499015,-0.1439,0.6,0.4,0.4167,0.0,286.439,303.97,3.044,2.606,-17.531,0.438,-7.947,0,4,4,1
2019-04-07,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,56.76977357843748,0.3223,0.25,0.3,0.5,0.5,296.756,226.862,2.653,2.763,69.894,-0.11,-13.948,1,4,5,1
